sys_loc_code,Hex,WellName,LithID,NewPick,Formation,Z,Omit,Reviewed,PickDate,PickedBy
9200509A,#c08081,WT-MW-WM12-93-A,19640.0,No,ATB2,355.04,0.0,0.0,1/7/2009,Stantec
9200509A,#FFFFCC,WT-MW-WM12-93-A,19639.0,No,AFB1,355.96,0.0,0.0,1/7/2009,Stantec
9200509A,#e5ccc9,WT-MW-WM12-93-A,19635.0,No,ATB1,360.23,0.0,0.0,1/7/2009,Stantec
PK_6504946,#FFFF99,PK_6504946,33160.0,No,AFB3,298.82,0.0,0.0,10/23/2012,AQR
PK_6504946,#C1E1C1,PK_6504946,33161.0,No,ATC1,297.29,0.0,0.0,10/23/2012,AQR
PK_6504946,#e5ccc9,PK_6504946,33158.0,No,ATB1,340.88,0.0,0.0,10/23/2012,AQR
PK_6504946,#808000,PK_6504946,33159.0,No,ATB3,315.58,0.0,0.0,10/23/2012,AQR
PK_6505112,#e5ccc9,PK_6505112,33196.0,No,ATB1,341.6,0.0,0.0,10/23/2012,AQR
6507207A,#FFFF99,WT-WC-UW5-91-A,-999.0,No,AFB3,311.71,0.0,0.0,10/23/2012,AQR
6507207A,#988558,WT-WC-UW5-91-A,13814.0,No,ATE1,299.52,0.0,0.0,10/23/2012,AQR
6507207A,#FFFFCC,WT-WC-UW5-91-A,-999.0,No,AFB1,378.77,0.0,0.0,10/23/2012,AQR
6507207A,#FFFF00,WT-WC-UW5-91-A,13817.0,No,AFF1,293.73,0.0,0.0,1/7/2009,Stantec
6507207A,#e5ccc9,WT-WC-UW5-91-A,13751.0,No,ATB1,377.86,0.0,0.0,10/23/2012,AQR
6507207A,#FFFF8F,WT-WC-UW5-91-A,-999.0,No,AFD1,298.91,0.0,0.0,10/23/2012,AQR
PK_6504425,#FFFFCC,PK_6504425,33038.0,No,AFB1,377.6,0.0,0.0,10/23/2012,AQR
PK_6504425,#C1E1C1,PK_6504425,33041.0,No,ATC1,314.44,0.0,0.0,10/23/2012,AQR
PK_6504425,#CCCC00,PK_6504425,33039.0,No,AFB2,352.3,0.0,0.0,10/23/2012,AQR
PK_6504425,#e5ccc9,PK_6504425,33037.0,No,ATB1,378.51,0.0,0.0,10/23/2012,AQR
PK_6504425,#988558,PK_6504425,33042.0,No,ATE1,295.3,0.0,0.0,10/23/2012,AQR
PK_6504425,#808000,PK_6504425,33040.0,No,ATB3,341.63,0.0,0.0,10/23/2012,AQR
9200513A,#CCCC00,WT-MW-WM16-93-A,19787.0,No,AFB2,331.28,0.0,0.0,1/7/2009,Stantec
9200513A,#e5ccc9,WT-MW-WM16-93-A,-999.0,No,ATB1,334.94,0.0,0.0,10/23/2012,AQR
9200513A,#808000,WT-MW-WM16-93-A,19788.0,No,ATB3,327.62,0.0,0.0,1/7/2009,Stantec
1000519A,#e5ccc9,WT-BD-TW13-94-A,2721.0,No,ATB1,363.946,0.0,0.0,10/23/2012,AQR
1000519A,#FFFFCC,WT-BD-TW13-94-A,-999.0,No,AFB1,364.556,0.0,0.0,10/23/2012,AQR
1000519A,#c08081,WT-BD-TW13-94-A,2724.0,No,ATB2,348.096,0.0,0.0,10/23/2012,AQR
1000443A,#CCCC00,WT-BD-TW4-94-A,2135.0,No,AFB2,361.69,0.0,0.0,1/7/2009,Stantec
1000443A,#808000,WT-BD-TW4-94-A,2138.0,No,ATB3,329.99,0.0,0.0,1/7/2009,Stantec
1000517A,#808000,WT-BD-TW11-95-A,-999.0,No,ATB3,333.93,0.0,0.0,10/23/2012,AQR
1000517A,#FFFFCC,WT-BD-TW11-95-A,-999.0,No,AFB1,358.94,0.0,0.0,10/23/2012,AQR
1000517A,#e5ccc9,WT-BD-TW11-95-A,2672.0,No,ATB1,364.73,0.0,0.0,10/23/2012,AQR
PK_9201222,#e5ccc9,PK_9201222,34315.0,No,ATB1,339.43,0.0,0.0,10/23/2012,AQR
PK_9201222,#C1E1C1,PK_9201222,34318.0,No,ATC1,302.55,0.0,0.0,10/23/2012,AQR
PK_9201222,#988558,PK_9201222,34319.0,No,ATE1,286.09,0.0,0.0,10/23/2012,AQR
